command,pid
bash,1283397
curl www.google.com,1313710
curl apt install curl -y,1313864
apt install curl -y,1313993
apt update,1314286
apt list,1314632
ping www.google.com,1314882
apt list,1315138
ifconfig,1330789
iproute2,1345324
ip,1376325
apt update,1376627
apt update,1376807
apt install net-tools,1377188
ping www.google.com,1388708
ping www.google.com,446327
sudo apt install -y net-tools,446571
apt install -y net-tools,446700
bash,446987
apt install -y net-tools,478974
apt install -y net-tools,511043
apt install -y net-tools,511445
apt install -y net-tools,668913
apt install -y net-tools,800739
apt install -y net-tools,801053
apt install -y net-tools,801188
apt install -y net-tools,833359
apt install -y net-tools,0
apt install -y net-tools,865619
apt install -y net-tools,865846
apt install -y net-tools,897525
locale -a,897740
locale -a,898090
locale -a,898287
locale -a,1027855
locale -a,1123930
apt-get -y install locales,1124477
apt-get update,1124728
apt-get update,1137196
apt update,1145907
apt install net-tools,1156920
apt install apt-utils,1157084
apt install apt-utils,1157218
apt install -y apt-utils,1300703
ifconfig,1318083
ipconfig,1318207
apt-get -y install locales,1318626
apt-get -y install locales,1318730
apt-get -y install locales,1351058
apt-get -y install locales,1375198
apt-get -y install locales,1415612
apt-get -y install locales,1415812
apt-get -y install locales,1415990
apt-get -y install locales,1416047
apt-get -y install locales,1416255
localedef -i en_US -f UTF-8 en_US.UTF-8,425952
apt-get update && apt-get install -y locales,490249
locale,556452
locale,588650
locale,589071
locale,596083
apt-get update && apt-get install -y net-tools,621520
apt-get update && apt-get install -y apt-utils,621791
locale,622326
apt-get update && apt-get install -y apt-utils,686751
